date,btc,last_timestamp
2022-01-21 00:00:00,650.0,
2022-01-22 00:00:00,1.0,
2022-01-22 00:00:00,675.0,
2022-01-22 00:00:00,9.0,
2022-01-22 00:00:00,650.0,
2022-01-22 00:00:00,286.0,
2022-01-22 00:00:00,750.0,
2022-01-22 00:00:00,100.0,
2022-01-22 00:00:00,560.0,
2022-01-22 00:00:00,702.0,
2022-01-22 00:00:00,133.0,
2022-01-22 00:00:00,500.0,
2022-01-23 00:00:00,16.0,
2022-01-24 00:00:00,125.0,
2022-01-24 00:00:00,658.0,
2022-01-24 00:00:00,500.0,
2022-01-24 00:00:00,250.0,
2022-01-24 00:00:00,0.0,
2022-01-24 00:00:00,0.0,
2022-01-24 00:00:00,924.0,
2022-01-24 00:00:00,0.0,
2022-01-24 00:00:00,0.0,
2022-01-24 00:00:00,735.0,
2022-01-24 00:00:00,450.0,
2022-01-24 00:00:00,927.0,
2022-01-24 00:00:00,600.0,
2022-01-24 00:00:00,0.0,
2022-01-24 00:00:00,0.0,
2022-01-24 00:00:00,550.0,
2022-01-25 00:00:00,700.0,
2022-01-25 00:00:00,0.0,
2022-01-25 00:00:00,540.0,
2022-01-25 00:00:00,562.0,
2022-01-25 00:00:00,276.0,
2022-01-25 00:00:00,1.0,
2022-01-25 00:00:00,326.0,
2022-01-25 00:00:00,241.0,
2022-01-25 00:00:00,725.0,
2022-01-25 00:00:00,595.0,
2022-01-26 00:00:00,597.0,
2022-01-26 00:00:00,1.0,
2022-01-26 00:00:00,1.0,
2022-01-26 00:00:00,656.0,
2022-01-26 00:00:00,779.0,
2022-01-26 00:00:00,795.0,
2022-01-26 00:00:00,800.0,
2022-01-26 00:00:00,132.0,
2022-01-26 00:00:00,226.0,
2022-01-26 00:00:00,697.0,
2022-01-26 00:00:00,0.0,
2022-01-26 00:00:00,0.0,
2022-01-26 00:00:00,578.0,
2022-01-26 00:00:00,700.0,
2022-01-26 00:00:00,100.0,
2022-01-26 00:00:00,612.0,
2022-01-27 00:00:00,955.0,
2022-01-27 00:00:00,54.0,
2022-01-27 00:00:00,607.0,
2022-01-27 00:00:00,600.0,
2022-01-27 00:00:00,675.0,
2022-01-27 00:00:00,0.0,
2022-01-28 00:00:00,0.0,
2022-01-28 00:00:00,300.0,
2022-01-28 00:00:00,900.0,
2022-01-28 00:00:00,930.0,
2022-01-28 00:00:00,675.0,
2022-01-28 00:00:00,0.0,
2022-01-29 00:00:00,1.0,
2022-01-29 00:00:00,919.0,
2022-01-29 00:00:00,320.0,
2022-01-29 00:00:00,750.0,
2022-01-29 00:00:00,900.0,
2022-01-29 00:00:00,600.0,
2022-01-29 00:00:00,330.0,
2022-01-29 00:00:00,750.0,
2022-01-29 00:00:00,0.0,
2022-01-29 00:00:00,540.0,
2022-01-30 00:00:00,525.0,
2022-01-31 00:00:00,715.0,
2022-01-31 00:00:00,443.0,
2022-01-31 00:00:00,295.0,
2022-02-01 00:00:00,750.0,
2022-02-01 00:00:00,132.0,
2022-02-01 00:00:00,242.0,
2022-02-01 00:00:00,1.0,
2022-02-01 00:00:00,0.0,
2022-02-01 00:00:00,0.0,
2022-02-01 00:00:00,100.0,
2022-02-01 00:00:00,500.0,
2022-02-01 00:00:00,2.0,
2022-02-01 00:00:00,0.0,
2022-02-01 00:00:00,3.0,
2022-02-01 00:00:00,20.0,
